1	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
1	0.730000	425.828783	2.072867e-08	9.622000e-01	3.139344e-11
2	0.780000	200.948435	2.165990e-08	9.670000e-01	1.939658e-11
4	0.780000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
5	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
6	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
7	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
7	0.830000	552.111935	2.705048e-08	9.711000e-01	2.569659e-11
8	0.780000	574.463728	1.507966e-08	9.428000e-01	3.682681e-13
9	0.730000	659.986435	1.364010e-08	9.082000e-01	1.390953e-12
10	0.710000	176.658096	2.129459e-08	8.922074e-01	3.435465e-11
12	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
12	0.810000	509.526681	2.214812e-08	9.373000e-01	1.307104e-23
13	0.750000	390.141810	2.116338e-08	9.125000e-01	2.236848e-12
14	0.770000	296.545941	1.765452e-08	9.540000e-01	4.190133e-13
15	0.810000	304.890474	1.530427e-08	9.506000e-01	1.776372e-13
16	0.770000	60.612044	2.181285e-08	8.574000e-01	1.531602e-11
17	0.750000	110.701944	2.347045e-08	9.150000e-01	1.718385e-11
18	0.670000	1088.712739	1.109019e-08	8.911000e-01	4.339430e-13
19	0.660000	210.625056	1.694870e-08	8.912000e-01	1.973414e-12
21	0.710000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
22	0.730000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
23	0.790000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
23	0.730000	256.822111	1.662986e-08	9.379000e-01	2.084002e-12
25	0.760000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
26	0.780000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
26	0.750000	231.459712	2.220863e-08	9.650000e-01	8.385562e-12
27	0.780000	245.575343	1.920850e-08	9.648000e-01	9.654153e-27
28	0.770000	279.999580	3.104557e-08	9.747000e-01	1.356709e-11
29	0.790000	280.704680	2.257471e-08	9.559000e-01	6.773604e-12
30	0.800000	162.939310	1.629679e-08	9.660000e-01	2.482199e-25
31	0.800000	270.803643	1.569641e-08	9.660000e-01	8.117637e-26
32	0.780000	219.301608	1.858142e-08	9.670000e-01	6.353015e-13
33	0.810000	5106.837561	2.419056e-08	9.487000e-01	3.226264e-24
34	0.780000	368.077295	1.415128e-08	9.582000e-01	9.660559e-13
36	0.790000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
37	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
38	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
38	0.770000	268.884855	1.235841e-08	9.425000e-01	5.401033e-26
39	0.650000	1184.723250	8.431740e-09	8.530000e-01	7.409132e-26
40	0.520000	895.636440	3.075957e-08	9.363922e-01	1.270732e-10
42	0.720000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
42	0.780000	443.408004	2.375709e-08	9.604000e-01	1.590339e-11
43	0.800000	130.028615	3.799293e-08	9.520000e-01	1.591121e-12
44	0.780000	243.481226	9.045228e-07	9.978002e-01	1.091890e-11
45	0.810000	201.681731	1.828249e-08	9.601000e-01	2.475193e-13
46	0.840000	219.211695	1.901095e-08	9.488000e-01	7.657094e-25
47	0.760000	352.935793	2.950280e-08	9.592000e-01	2.645258e-11
48	0.720000	59.156431	1.397178e-08	9.216000e-01	8.587330e-26
49	0.760000	85.609186	1.540069e-08	9.472000e-01	3.676413e-12
50	0.770000	60.147204	1.881397e-08	9.655000e-01	1.583256e-26
51	0.790000	158.340955	3.565001e-08	9.769000e-01	3.707044e-12
52	0.750000	190.668496	8.223621e-07	9.975002e-01	7.383460e-12
53	0.800000	538.828098	4.801251e-08	9.460000e-01	1.818814e-12
54	0.790000	143.729478	1.845644e-08	9.694814e-01	1.575387e-12
56	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00
