0	0.298987	0.342795	0.020233
1	0.298987	0.359607	0.011021
2	0.298987	0.350880	0.009761
3	0.298987	0.317083	0.014591
4	0.298987	0.227773	0.007351
5	0.295675	0.367749	0.045651
6	0.296187	0.340576	0.063288
7	1.837246	14.846962	1.648730
8	1.837246	11.218942	1.191202
9	1.837246	5.024329	0.288563
10	1.837246	4.140251	0.231010
11	1.837246	3.398615	0.185589
12	1.837246	2.925580	0.169140
13	1.837246	2.373730	0.080932
14	1.985705	2.474827	0.148221
15	1.985705	1.306147	0.142911
16	1.985705	1.326940	0.089969
17	1.985705	1.307748	0.111042
18	1.985705	1.196575	0.128016
19	2.255749	2.534198	0.077575
20	2.255749	1.815799	0.127819
21	2.255749	1.420204	0.124358
