0	-0.000000	0.044748	0.002909
1	-0.000000	0.044343	0.001637
2	-0.000000	0.045422	0.001157
3	-0.000000	0.045259	0.002349
4	-0.000000	0.046841	0.001765
5	-0.000000	0.031947	0.004617
6	-0.000000	0.039497	0.008096
7	-0.002538	6.125443	0.570611
8	-0.002538	4.569273	0.488332
9	-0.002538	2.572507	0.150879
10	-0.002538	2.040476	0.135743
11	-0.002538	1.622762	0.119359
12	-0.002538	1.428106	0.109861
13	-0.002538	1.219261	0.067583
14	-0.002895	1.477302	0.152840
15	-0.002895	0.507620	0.100523
16	-0.002895	0.593115	0.082779
17	-0.002895	0.448418	0.119094
18	-0.002895	0.369322	0.149072
19	-0.003347	1.650042	0.074295
20	-0.003347	0.654976	0.119093
21	-0.003347	0.547817	0.117766
