FIELD = 850
WR = 50000
W1 = 10000
TEMP = 299
TYPE = 15NR1p
#DATA
1 -1 -1
2 0.947682190836408 0.095381568926568
3 0.640603887855445 0.125696725420019
4 0.610459918308437 0.190413577874607
5 0.497881756875201 0.224872165337911
6 0.304256192607555 0.167518474894828
7 0.488449561677545 0.14277008040818
8 0.417761550326801 0.096697526780004
9 0.547817378484605 0.117765956460798
10 0.935067007709212 0.138993774945461
11 2.55564722925334 0.325484092478508
12 2.23840813719196 0.312098652413364
13 0.527128327559451 0.209302765276365
14 1.14153951633187 0.199257584931137
15 0.460746801680884 0.102929905461118
16 0.705010768709186 0.161998168145591
17 3.73831681079919 0.432012899201412
18 1.96759658589681 0.290264617327531
19 1.03925847364526 0.089741504354098
20 2.45689081657298 0.270111726447832
21 1.2933232686155 0.173947447364483
22 2.31037946945884 0.356737645813229
23 0.67690807945151 0.153089804127929
24 1.10915871955379 0.240205658579488
25 -1 -1
26 1.10105882705066 0.24783948774785
27 0.83708042465056 0.156584322070492
28 0.512548529298018 0.154149856105432
29 0.383432221860863 0.163031211563292
30 0.853290114603345 0.18966874937809
31 0.564491755917757 0.146043925859868
32 0.48784365127218 0.119585884835877
33 0.439175355622629 0.129432824116086
34 2.37221133000909 0.301036556129205
35 0.477946895414377 0.145969175324264
36 0.562428520600411 0.146215447272648
37 1.09116243333189 0.254163036354777
38 0.795743017072931 0.178051706725779
39 0.579431722559348 0.142205885144062
40 0.977687989347181 0.08370159603358
41 1.42020378080384 0.124357719496306
42 0.920710347491255 0.158586581848348
43 0.910201327691346 0.122752586554369
44 1.43717511843605 0.252329845316328
45 1.1316049823435 0.173629067853752
46 0.369982517273759 0.137225502493512
47 0.679688987057714 0.205166645223508
48 0.901422165323129 0.155291575083969
49 0.781686473235427 0.317636583200537
50 0.95434424173359 0.235497416312842
51 1.25955228812038 0.308126757377446
52 0.791345353743256 0.144344136433824
53 1.05611271873547 0.233642492748125
54 1.99811628380249 0.203930024115127
55 0.346270084166273 0.128727509509657
56 0.564125305211027 0.072292604782377
