1 -1 -1
2 -1 -1
3 0.878 0.006
4 0.886 0.008
5 0.898 0.003
6 0.884 0.008
7 0.871 0.005
8 0.898 0.006
9 0.822 0.015
10 0.827 0.025
11 0.77 0.036
12 0.825 0.008
13 0.95 0.024
14 0.851 0.011
15 0.872 0.012
16 0.719 0.04
17 0.893 0.012
18 0.884 0.003
19 0.869 0.005
20 0.874 0.003
21 0.902 0.031
22 0.879 0.006
23 0.974 0.015
24 0.876 0.004
25 -1 -1
26 0.949 0.023
27 -1 -1
28 0.886 0.002
29 0.889 0.006
30 0.887 0.003
31 0.946 0.017
32 0.927 0.02
33 0.881 0.005
34 0.922 0.017
35 0.882 0.005
36 0.957 0.016
37 0.791 0.041
38 0.882 0.004
39 0.952 0.015
40 0.71 0.019
41 0.583 0.015
42 0.9 0.029
43 0.89 0.005
44 0.975 0.021
45 0.879 0.007
46 0.965 0.021
47 0.871 0.015
48 0.861 0.003
49 0.868 0.005
50 0.95 0.026
51 0.824 0.026
52 0.898 0.002
53 0.891 0.009
54 0.957 0.018
55 0.898 0.009
56 0.947 0.015
