1	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
1	0.730000	380.185148	1.728502e-10	9.445682e-01	1.466819e-12	1.054800e+04	5.374000e+03
2	0.780000	167.775477	5.556634e-12	9.736000e-01	1.951767e-12	2.026200e+04	5.941000e+03
4	0.780000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
5	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
6	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
7	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
7	0.830000	339.616825	3.291819e-11	8.392128e-01	7.922558e-14	1.133627e+02	3.243600e+04
8	0.780000	410.863370	1.298108e-12	9.670000e-01	8.015126e-13	2.389100e+04	8.402000e+03
9	0.730000	599.260482	1.002030e-10	9.277515e-01	9.244289e-15	1.253500e+04	1.910303e+04
10	0.710000	120.175368	4.988073e-12	8.956000e-01	1.084778e-15	2.041200e+04	2.509600e+04
12	-1.000000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
12	0.810000	439.025814	4.184319e-11	9.582000e-01	1.003531e-14	1.607300e+04	1.839000e+04
13	0.750000	309.586642	7.369286e-11	9.425000e-01	4.931643e-12	1.477300e+04	3.996000e+03
14	0.770000	170.190435	3.589080e-13	9.701000e-01	7.258483e-15	2.698000e+04	1.812000e+04
15	0.810000	180.228198	2.917570e-12	9.760896e-01	2.917570e-12	2.230919e+04	5.537000e+03
16	0.770000	38.634098	4.866645e-10	8.790428e-01	3.340521e-13	9.626375e+03	1.207538e+04
17	0.750000	73.801259	1.179486e-10	9.175000e-01	2.855499e-13	1.282000e+04	1.000800e+04
18	0.670000	966.546993	1.454910e-11	9.274000e-01	3.052058e-13	1.701600e+04	1.143800e+04
19	0.660000	191.897177	3.192059e-10	9.116000e-01	8.638243e-14	1.010900e+04	1.256200e+04
21	0.710000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
22	0.730000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
23	0.790000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
23	0.730000	248.032369	5.910386e-10	9.541000e-01	3.495549e-14	8.702000e+03	1.468400e+04
25	0.760000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
26	0.780000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
26	0.750000	183.382485	2.290216e-10	7.663212e-01	2.626585e-13	4.120302e+04	2.578022e+04
27	0.780000	236.669460	4.912339e-07	8.021073e-01	1.150639e-09	5.195076e+04	6.776088e+03
28	0.770000	265.506416	3.570663e-10	9.816000e-01	4.393899e-12	1.143400e+04	3.200000e+03
29	0.790000	259.193922	2.137411e-10	9.643000e-01	2.141842e-12	1.159100e+04	4.361000e+03
30	0.800000	141.907703	9.322885e-13	8.120000e-01	6.127727e-13	6.609000e+03	2.562400e+04
31	0.800000	259.595434	1.036902e-11	9.780000e-01	8.784079e-14	1.843300e+04	1.185300e+04
32	0.780000	206.104035	1.624353e-10	9.758000e-01	2.973722e-14	1.202600e+04	1.348500e+04
33	0.810000	4179.606819	1.633303e-10	9.519584e-01	1.633303e-10	1.210109e+04	5.785284e+04
34	0.780000	333.077161	3.768920e-14	7.910000e-01	6.971836e-15	1.528600e+04	3.630400e+04
36	0.790000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
37	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
38	0.770000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
38	0.770000	234.963886	4.087886e-11	9.724000e-01	2.386485e-13	1.535500e+04	1.192500e+04
39	0.650000	952.869850	8.606873e-12	9.090000e-01	1.896272e-15	1.782200e+04	2.529000e+04
40	0.520000	686.883827	6.446788e-11	9.184000e-01	2.353656e-13	1.420200e+04	1.537600e+04
42	0.720000	-1.000000	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00	-1.000000e+00
42	0.780000	368.636091	1.292760e-11	9.663704e-01	1.437987e-12	1.835602e+04	6.183975e+03
43	0.800000	38.533646	2.566175e-12	8.100000e-01	1.847618e-14	4.125000e+03	3.841300e+04
44	0.780000	81.046083	9.185392e-13	9.648000e-01	2.051420e-17	2.639200e+04	2.949400e+04
45	0.810000	135.465921	2.989907e-13	8.214000e-01	2.186932e-13	1.018700e+04	2.908500e+04
46	0.840000	140.489907	2.787610e-12	8.448000e-01	8.705531e-14	6.313000e+03	3.424900e+04
47	0.760000	259.782816	3.140986e-11	7.648000e-01	2.331106e-11	2.620000e+02	2.102400e+04
48	0.720000	55.939628	1.073308e-10	9.468000e-01	3.855262e-14	1.250800e+04	1.521100e+04
49	0.760000	67.989765	3.913950e-13	9.592000e-01	2.432307e-16	2.589900e+04	2.605800e+04
50	0.770000	58.911081	9.472295e-06	7.909815e-01	2.399143e-09	5.434002e+04	4.957033e+03
51	0.790000	66.015716	2.031528e-12	9.858953e-01	3.982043e-13	2.447200e+04	6.971000e+03
