0	0.040847	0.036529	0.003570
1	0.035710	0.034733	0.001431
2	0.033850	0.037527	0.002024
3	0.033902	0.034861	0.002261
4	0.034852	0.035687	0.001750
5	0.030536	0.025883	0.007226
6	0.028227	0.031247	0.012046
7	2.874792	5.231953	0.394776
8	2.725689	4.528605	0.442035
9	2.061901	3.635588	0.219255
10	1.873208	3.018817	0.167728
11	1.667927	2.762894	0.157477
12	1.524602	2.687227	0.242745
13	1.310841	2.000071	0.099302
14	2.429210	1.874155	0.270405
15	1.824188	1.399455	0.245963
16	1.667036	1.038849	0.138754
17	1.494818	0.905039	0.229515
18	1.215583	0.829646	0.240738
19	2.804498	1.795102	0.126578
20	2.057580	0.988109	0.195787
21	1.724070	0.527128	0.209303
